18.7 1.00218  0.018359  0.988837  0.148999
18.8 0.99901  -0.0819513  0.998772  0.0495356
18.9 0.985819  -0.181442  0.998728  -0.0504227
19 0.962746  -0.279117  0.988705  -0.149877
19.1 0.930021  -0.373996  0.968802  -0.247834
19.2 0.887971  -0.465128  0.93922  -0.343315
19.3 0.837018  -0.5516  0.900254  -0.435365
19.4 0.777673  -0.632544  0.852292  -0.523066
19.5 0.71053  -0.707148  0.795815  -0.60554
19.6 0.636263  -0.774665  0.731386  -0.681964
19.7 0.555615  -0.834418  0.659649  -0.751573
19.8 0.469395  -0.885808  0.581322  -0.813674
19.9 0.378467  -0.928318  0.497186  -0.867644
20 0.283743  -0.961523  0.408082  -0.912945
20.1 0.186172  -0.98509  0.314901  -0.949125
20.2 0.0867323  -0.998782  0.218573  -0.975821
20.3 -0.0135796  -1.00246  0.120062  -0.992766
20.4 -0.113758  -0.996091  0.0203508  -0.999793
20.5 -0.212798  -0.979735  -0.0795636  -0.99683
20.6 -0.309708  -0.953556  -0.178683  -0.983907
20.7 -0.403515  -0.917818  -0.276017  -0.961153
20.8 -0.493279  -0.872877  -0.370593  -0.928795
20.9 -0.5781  -0.819185  -0.461467  -0.887158
21 -0.657128  -0.757279  -0.547729  -0.836656
21.1 -0.72957  -0.68778  -0.628519  -0.777794
21.2 -0.794701  -0.611384  -0.703029  -0.711161
21.3 -0.851865  -0.528857  -0.770514  -0.637423
21.4 -0.900492  -0.441026  -0.830301  -0.557315
21.5 -0.940092  -0.348772  -0.881792  -0.471639
21.6 -0.970269  -0.253019  -0.924472  -0.38125
21.7 -0.990719  -0.154727  -0.957915  -0.287053
21.8 -1.00124  -0.0548811  -0.981787  -0.189987
21.9 -1.00172  0.0455171  -0.995849  -0.0910224
22 -0.99216  0.145462  -0.999961  0.00885131
22.1 -0.972653  0.24395  -0.994082  0.108637
22.2 -0.943395  0.339996  -0.97827  0.207336
22.3 -0.904678  0.432635  -0.952683  0.303965
22.4 -0.856891  0.52094  -0.917578  0.397556
22.5 -0.800513  0.604024  -0.873305  0.487175
22.6 -0.736108  0.681055  -0.820305  0.571926
22.7 -0.664322  0.751261  -0.75911  0.650962
22.8 -0.585874  0.813937  -0.69033  0.723495
22.9 -0.501551  0.868454  -0.614652  0.788798
23 -0.412198  0.914267  -0.532833  0.84622
23.1 -0.31871  0.950916  -0.44569  0.895187
23.2 -0.222025  0.978032  -0.354094  0.93521
23.3 -0.123112  0.995344  -0.25896  0.965888
23.4 -0.0229615  1.00268  -0.161238  0.986916
23.5 0.0774212  0.999962  -0.0619053  0.998082
23.6 0.17703  0.98722  0.0380459  0.999276
23.7 0.274867  0.964581  0.137617  0.990486
23.8 0.369951  0.932271  0.235813  0.971798
23.9 0.461328  0.890615  0.331653  0.943401
24 0.548083  0.840029  0.424179  0.905578
24.1 0.629345  0.78102  0.512467  0.858707
24.2 0.704301  0.714181  0.595634  0.803256
24.3 0.772197  0.64018  0.67285  0.739779
24.4 0.832354  0.559759  0.743344  0.66891
24.5 0.884168  0.473725  0.806409  0.591358
24.6 0.92712  0.382939  0.861418  0.507897
24.7 0.960778  0.288313  0.90782  0.419361
24.8 0.984806  0.190793  0.945151  0.326635
24.9 0.998961  0.0913587  0.973038  0.230646
25 1.0031  -0.00899421  0.991203  0.132352
25.1 0.997187  -0.109259  0.999464  0.0327354
25.2 0.981275  -0.208432  0.997739  -0.0672081
25.3 0.955526  -0.305517  0.986045  -0.16648
25.4 0.920196  -0.399542  0.964498  -0.264089
25.5 0.875641  -0.489564  0.933315  -0.359058
25.6 0.822307  -0.57468  0.892806  -0.450441
25.7 0.760727  -0.654038  0.843377  -0.537322
25.8 0.69152  -0.72684  0.785521  -0.618835
25.9 0.615378  -0.792358  0.719816  -0.694165
26 0.533065  -0.849934  0.646919  -0.762558
26.1 0.445407  -0.898991  0.567559  -0.823333
26.2 0.35328  -0.939036  0.482527  -0.875881
26.3 0.25761  -0.969669  0.392674  -0.919678
26.4 0.159355  -0.990582  0.298898  -0.954285
26.5 0.0595004  -1.00156  0.202135  -0.979358
26.6 -0.0409536  -1.00251  0.103353  -0.994645
26.7 -0.141  -0.993399  0.00353755  -0.999994
26.8 -0.239634  -0.974332  -0.0963129  -0.995351
26.9 -0.335869  -0.945497  -0.195201  -0.980763
27 -0.42874  -0.907183  -0.292139  -0.956376
27.1 -0.517314  -0.859773  -0.386158  -0.922433
