#                NUMBER DENSITIES          MASS DENSITY  TEMPERATURE
#    H/KM     O/cm-3    N2/cm-3    O2/cm-3   m/g*cm-3     TN/K TEXO/K
   252.0   1.628E+09  5.290E+08  3.081E+07  6.976E-14   879.4   892
   254.0   1.564E+09  4.931E+08  2.844E+07  6.624E-14   880.1   892
   256.0   1.502E+09  4.597E+08  2.625E+07  6.292E-14   880.7   892
   258.0   1.443E+09  4.286E+08  2.423E+07  5.979E-14   881.3   892
   260.0   1.386E+09  3.997E+08  2.238E+07  5.683E-14   881.9   892
   262.0   1.331E+09  3.728E+08  2.066E+07  5.403E-14   882.4   892
   264.0   1.279E+09  3.477E+08  1.908E+07  5.139E-14   882.9   892
   266.0   1.229E+09  3.243E+08  1.763E+07  4.889E-14   883.4   892
   268.0   1.181E+09  3.026E+08  1.628E+07  4.653E-14   883.8   892
   270.0   1.135E+09  2.823E+08  1.504E+07  4.429E-14   884.3   892
   272.0   1.091E+09  2.634E+08  1.390E+07  4.217E-14   884.7   892
   274.0   1.048E+09  2.458E+08  1.285E+07  4.016E-14   885.1   892
   276.0   1.008E+09  2.294E+08  1.187E+07  3.826E-14   885.4   892
   278.0   9.686E+08  2.142E+08  1.097E+07  3.646E-14   885.8   892
   280.0   9.311E+08  1.999E+08  1.014E+07  3.476E-14   886.1   892
   282.0   8.951E+08  1.866E+08  9.377E+06  3.314E-14   886.4   892
   284.0   8.605E+08  1.742E+08  8.670E+06  3.160E-14   886.7   892
   286.0   8.273E+08  1.627E+08  8.016E+06  3.014E-14   887.0   892
   288.0   7.955E+08  1.519E+08  7.413E+06  2.876E-14   887.2   892
   290.0   7.649E+08  1.419E+08  6.855E+06  2.745E-14   887.5   892
   292.0   7.355E+08  1.325E+08  6.340E+06  2.620E-14   887.7   892
   294.0   7.073E+08  1.237E+08  5.864E+06  2.502E-14   887.9   892
   296.0   6.802E+08  1.156E+08  5.425E+06  2.389E-14   888.2   892
   298.0   6.541E+08  1.080E+08  5.018E+06  2.282E-14   888.4   892
