Enter desired value of z
Enter number of terms 
      289 interation(s), fractional error =                  nan
      290 interation(s), fractional error =                  nan
      291 interation(s), fractional error =                  nan
      292 interation(s), fractional error =                  nan
      293 interation(s), fractional error =                  nan
      294 interation(s), fractional error =                  nan
      295 interation(s), fractional error =                  nan
      296 interation(s), fractional error =                  nan
      297 interation(s), fractional error =                  nan
      298 interation(s), fractional error =                  nan
      299 interation(s), fractional error =                  nan
      300 interation(s), fractional error =                  nan
      301 interation(s), fractional error =                  nan
